URL,sku,price,upc,title
https://wholesale.primitivesbykathy.com/wall-decor-happy-easter-101719,#101719,$14.50,190134017194,Wall Decor - Happy Easter
https://wholesale.primitivesbykathy.com/pillow-love-you-to-the-moon-back-34078,#34078,,883504340786,Pillow - Love You To The Moon & Back
https://wholesale.primitivesbykathy.com/floral-mini-tulip-red-102353,#102353,$6.75,190134023539,Floral - Mini Tulip - Red
https://wholesale.primitivesbykathy.com/mug-make-today-amazing-102806,#102806,$6.50,190134028060,Mug - Make Today Amazing
https://wholesale.primitivesbykathy.com/chunky-sitter-easter-101511,#101511,$6.00,190134015114,Chunky Sitter - Easter
https://wholesale.primitivesbykathy.com/wall-decor-double-fern-102534,#102534,$8.50,190134025342,Wall Decor - Double Fern
https://wholesale.primitivesbykathy.com/dish-towel-hello-spring-101734,#101734,$7.50,190134017347,Dish Towel - Hello Spring
https://wholesale.primitivesbykathy.com/dish-towel-dream-big-102821,#102821,$5.50,190134028213,Dish Towel - Dream Big
https://wholesale.primitivesbykathy.com/block-sign-grow-through-what-you-go-through-102368,#102368,$5.00,190134023683,Block Sign - Grow Through What You Go Through
https://wholesale.primitivesbykathy.com/inset-box-sign-my-garden-feeds-my-soul-103062,#103062,$8.50,190134030629,Inset Box Sign - My Garden Feeds My Soul
https://wholesale.primitivesbykathy.com/canister-dream-big-live-simply-spread-love-101871,#101871,$9.50,190134018719,Canister - Dream Big Live Simply Spread Love
https://wholesale.primitivesbykathy.com/block-sign-stay-awhile-102547,#102547,$4.50,190134025472,Block Sign - Stay Awhile
https://wholesale.primitivesbykathy.com/dish-towel-oh-sweet-spring-101832,#101832,$5.50,190134018320,Dish Towel - Oh Sweet Spring
https://wholesale.primitivesbykathy.com/vase-divot-102885,#102885,$12.50,190134028855,Vase - Divot
https://wholesale.primitivesbykathy.com/slat-box-sign-what-is-done-in-love-is-done-well-101780,#101780,$14.50,190134017804,Slat Box Sign - What Is Done In Love Is Done Well
https://wholesale.primitivesbykathy.com/wall-decor-tomato-102530,#102530,$14.50,190134025304,Wall Decor - Tomato
https://wholesale.primitivesbykathy.com/wall-decor-farmhouse-kitchen-102869,#102869,$13.50,190134028695,Wall Decor - Farmhouse Kitchen
https://wholesale.primitivesbykathy.com/vase-tall-fern-102503,#102503,$8.50,190134025038,Vase - Tall Fern
https://wholesale.primitivesbykathy.com/spiral-notebook-be-happy-101755,#101755,$5.00,190134017552,Spiral Notebook - Be Happy
